3.2.1.23	R01105
1.7.99.-	R01106
1.8.5.1	R01108
1.8.4.4	R01109
1.8.4.1	R01110
1.8.4.3	R01111
1.8.4.4	R01113
1.14.18.2	R01115
2.7.7.43	R01117
4.1.1.33	R01121
2.5.1.75	R01122
5.3.3.2	R01123
3.1.3.5	R01126
3.1.3.99	R01126
3.1.3.-	R01126
3.5.4.10	R01127
3.2.2.12	R01128
1.1.1.205	R01130
2.7.1.73	R01131
2.4.2.8	R01132
1.7.1.7	R01134
6.3.4.4	R01135
2.7.4.6	R01137
2.7.1.40	R01138
2.7.1.1	R01139
2.7.1.1	R01140
1.14.13.25	R01142
1.14.13.25	R01143
3.1.1.44	R01144
3.1.6.16	R01145
1.1.2.7	R01146
1.1.2.10	R01146
2.6.1.21	R01148
2.3.2.14	R01149
6.3.2.4	R01150
